,tags,current amount,total_amount,currency used,current amount in dollars,total amount in dollars,percentage of completion,created,launch_date,country,donation_count,is_charity
122,Accidents & Emergencies,8783,15000,USD,8783.0,15000.0,58.553333333333335,"Created September 7, 2020",2020-09-07,US,75,false
123,"Medical, Illness & Healing",2075,2000,EUR,2468.005,2378.8,103.74999999999999,"Created March 18, 2020",2020-03-18,US,55,false
124,Accidents & Emergencies,10100,20000,USD,10100.0,20000.0,50.5,"Created March 26, 2021",2021-03-26,US,106,false
125,"Medical, Illness & Healing",1536,4900,GBP,2131.660599271913,6800.219359656492,31.346938775510207,"Created July 1, 2020",2020-07-01,US,54,false
126,Accidents & Emergencies,4535,15000,USD,4535.0,15000.0,30.233333333333334,"Created April 5, 2021",2021-04-05,US,111,false
127,Accidents & Emergencies,2245,15000,USD,2245.0,15000.0,14.966666666666667,"Created July 11, 2020",2020-07-11,US,64,false
128,Accidents & Emergencies,2275,6000,USD,2275.0,6000.0,37.916666666666664,"Created April 12, 2020",2020-04-12,US,38,false
129,"Medical, Illness & Healing",3155,20000,USD,3155.0,20000.0,15.775,"Created January 15, 2021",2021-01-15,US,67,false
130,"Medical, Illness & Healing",8569,20000,USD,8569.0,20000.0,42.845,"Created March 28, 2021",2021-03-28,US,107,false
131,"Medical, Illness & Healing",5305,100000,USD,5304.999999999999,100000.0,5.305,"Created November 9, 2020",2020-11-09,US,84,false
132,"Medical, Illness & Healing",2212,45000,EUR,2630.9528,53523.0,4.915555555555556,"Created March 22, 2021",2021-03-22,US,65,false
133,"Medical, Illness & Healing",1460,5000,USD,1460.0,5000.0,29.2,"Created February 19, 2021",2021-02-19,US,39,false
134,Accidents & Emergencies,5087,15000,USD,5087.0,15000.0,33.913333333333334,"Created October 1, 2020",2020-10-01,US,86,false
135,"Medical, Illness & Healing",480,5000,USD,480.0,5000.0,9.6,"Created September 13, 2020",2020-09-13,US,10,false
136,"Medical, Illness & Healing",1309,6000,USD,1309.0,6000.0,21.816666666666666,"Created October 5, 2020",2020-10-05,US,32,false
137,"Medical, Illness & Healing",600,3000,USD,600.0,3000.0,20.0,"Created April 2, 2021",2021-04-02,US,16,false
138,"Medical, Illness & Healing",3030,5000,USD,3029.9999999999995,5000.0,60.59999999999999,"Created September 15, 2020",2020-09-15,US,39,false
139,Accidents & Emergencies,1985,30000,USD,1985.0,30000.0,6.616666666666666,"Created March 26, 2021",2021-03-26,US,34,false
140,"Medical, Illness & Healing",835,1400,USD,835.0,1400.0,59.64285714285714,"Created March 27, 2021",2021-03-27,US,22,false
141,"Medical, Illness & Healing",720,2000,USD,720.0,2000.0,36.0,"Created September 11, 2020",2020-09-11,US,19,false
142,"Medical, Illness & Healing",395,2000,USD,395.0,2000.0,19.75,"Created April 11, 2021",2021-04-11,US,10,false
143,"Medical, Illness & Healing",360,7500,USD,360.0,7500.0,4.8,"Created February 9, 2021",2021-02-09,US,16,false
144,"Medical, Illness & Healing",882,10000,USD,882.0,10000.0,8.82,"Created December 23, 2020",2020-12-23,US,32,false
145,Volunteer & Service,713,3000,USD,713.0,3000.0,23.766666666666666,"Created May 3, 2020",2020-05-03,US,22,false
146,Accidents & Emergencies,1357,10000,USD,1357.0,10000.0,13.569999999999999,"Created May 5, 2020",2020-05-05,US,27,false
147,"Medical, Illness & Healing",2030,35000,USD,2030.0,35000.0,5.800000000000001,"Created January 15, 2021",2021-01-15,US,25,false
148,"Medical, Illness & Healing",1170,40000,USD,1170.0,40000.0,2.9250000000000003,"Created April 6, 2021",2021-04-06,US,17,false
149,"Medical, Illness & Healing",3951,40000,USD,3951.0,40000.0,9.8775,"Created April 8, 2021",2021-04-08,US,43,false
150,"Medical, Illness & Healing",5448,50000,USD,5448.0,50000.0,10.896,"Created December 7, 2020",2020-12-07,US,30,false
151,"Medical, Illness & Healing",1491,50000,USD,1491.0,50000.0,2.9819999999999998,"Created April 1, 2021",2021-04-01,US,18,false
152,Accidents & Emergencies,1821,22000,USD,1821.0,22000.0,8.277272727272727,"Created January 3, 2021",2021-01-03,US,46,false
153,Other,1683,3000,EUR,2001.7602,3568.2,56.10000000000001,"Created May 1, 2020",2020-05-01,US,33,false
154,Accidents & Emergencies,475,15000,USD,475.0,15000.0,3.166666666666667,"Created April 11, 2021",2021-04-11,US,16,false
155,Accidents & Emergencies,653,5500,USD,653.0,5500.0,11.872727272727273,"Created March 23, 2021",2021-03-23,US,16,false
156,"Medical, Illness & Healing",905,1550,USD,905.0,1550.0,58.387096774193544,"Created January 14, 2021",2021-01-14,US,25,false
157,"Medical, Illness & Healing",690,10000,USD,690.0,10000.0,6.9,"Created March 26, 2021",2021-03-26,US,17,false
158,Accidents & Emergencies,308,308,USD,308.0,308.0,100.0,"Created December 3, 2020",2020-12-03,US,10,false
159,Accidents & Emergencies,954,7000,EUR,1134.6876,8325.8,13.628571428571428,"Created March 30, 2020",2020-03-30,US,12,false
160,"Medical, Illness & Healing",1585,20000,USD,1584.9999999999998,20000.0,7.924999999999999,"Created December 30, 2020",2020-12-30,US,28,false
161,Animals & Pets,860,4500,USD,860.0,4500.0,19.11111111111111,"Created May 14, 2020",2020-05-14,US,21,false
162,"Medical, Illness & Healing",1107,40000,USD,1107.0,40000.0,2.7675,"Created September 25, 2020",2020-09-25,US,9,false
163,"Medical, Illness & Healing",1301,25000,USD,1301.0,25000.0,5.204000000000001,"Created November 27, 2020",2020-11-27,US,57,false
164,"Medical, Illness & Healing",643,5000,USD,643.0,5000.0,12.86,"Created April 11, 2021",2021-04-11,US,10,false
165,Accidents & Emergencies,794,3000,EUR,944.3836,3568.2,26.466666666666665,"Created March 23, 2021",2021-03-23,US,14,false
166,"Medical, Illness & Healing",917,15000,GBP,1272.6124801642866,20816.99803976477,6.113333333333334,"Created February 21, 2021",2021-02-21,US,12,false
167,Accidents & Emergencies,730,3000,USD,730.0,3000.0,24.333333333333336,"Created June 12, 2020",2020-06-12,US,10,false
168,"Medical, Illness & Healing",350,5000,USD,350.0,5000.0,7.000000000000001,"Created February 25, 2021",2021-02-25,US,8,false
169,Volunteer & Service,204,2000,GBP,283.1111733408009,2775.599738635303,10.200000000000001,"Created August 16, 2020",2020-08-16,US,7,false
170,"Medical, Illness & Healing",302,15000,EUR,359.1988,17841.0,2.013333333333333,"Created April 10, 2021",2021-04-10,US,10,false
171,"Medical, Illness & Healing",300,10000,USD,300.0,10000.0,3.0,"Created February 15, 2021",2021-02-15,US,9,false
172,"Babies, Kids & Family",725,500,USD,725.0,500.0,145.0,"Created November 27, 2020",2020-11-27,US,18,false
173,"Medical, Illness & Healing",30,250000,USD,30.0,250000.0,0.012,"Created July 23, 2020",2020-07-23,US,1,false
174,"Medical, Illness & Healing",560,12000,EUR,666.064,14272.8,4.666666666666667,"Created March 31, 2021",2021-03-31,US,7,false
175,"Medical, Illness & Healing",510,8000,USD,510.0,8000.0,6.375,"Created March 26, 2021",2021-03-26,US,9,false
176,"Medical, Illness & Healing",4335,5000,USD,4335.0,5000.0,86.7,"Created November 9, 2020",2020-11-09,US,58,false
177,"Medical, Illness & Healing",1130,10000,USD,1130.0,10000.0,11.3,"Created December 5, 2020",2020-12-05,US,10,false
178,Community & Neighbors,135,100,USD,135.0,100.0,135.0,"Created July 13, 2020",2020-07-13,US,9,false
179,Community & Neighbors,2020,1500,EUR,2402.588,1784.1,134.66666666666669,"Created December 5, 2020",2020-12-05,US,16,false
180,Funerals & Memorials,1800,10000,USD,1800.0,10000.0,18.0,"Created April 9, 2021",2021-04-09,US,16,false
181,"Medical, Illness & Healing",670,5000,USD,670.0,5000.0,13.4,"Created April 3, 2021",2021-04-03,US,11,false
182,"Medical, Illness & Healing",562,14500,USD,562.0,14500.000000000002,3.8758620689655165,"Created September 14, 2020",2020-09-14,US,9,false
183,"Medical, Illness & Healing",440,5000,USD,440.0,5000.0,8.799999999999999,Created 7 days ago,2021-04-13,US,7,false
184,"Medical, Illness & Healing",177,10000,EUR,210.5238,11894.0,1.77,"Created March 7, 2021",2021-03-07,US,5,false
185,"Babies, Kids & Family",160,5000,USD,160.0,5000.0,3.2,"Created December 4, 2020",2020-12-04,US,5,false
186,"Medical, Illness & Healing",100,7000,USD,100.0,7000.0,1.4285714285714286,"Created March 30, 2021",2021-03-30,US,5,false
187,"Medical, Illness & Healing",150,6000,USD,150.0,6000.0,2.5,"Created August 18, 2020",2020-08-18,US,4,false
188,Accidents & Emergencies,105,10000,USD,105.0,10000.0,1.05,"Created January 5, 2021",2021-01-05,US,4,false
189,"Medical, Illness & Healing",360,12000,USD,360.0,12000.0,3.0,"Created October 2, 2020",2020-10-02,US,3,false
190,"Medical, Illness & Healing",60,3200,USD,60.0,3200.0,1.875,"Created August 25, 2020",2020-08-25,US,3,false
191,"Medical, Illness & Healing",100,30000,USD,100.0,30000.0,0.33333333333333337,"Created November 16, 2020",2020-11-16,US,2,false
192,"Medical, Illness & Healing",65,2000,USD,65.0,2000.0,3.25,"Created December 21, 2020",2020-12-21,US,2,false
193,"Medical, Illness & Healing",50,2500,USD,50.0,2500.0,2.0,"Created March 31, 2021",2021-03-31,US,2,false
194,Accidents & Emergencies,35,10000,USD,35.0,10000.0,0.35000000000000003,"Created March 6, 2021",2021-03-06,US,2,false
195,Accidents & Emergencies,50,300,USD,50.0,300.0,16.666666666666664,"Created April 12, 2021",2021-04-12,US,1,false
196,Accidents & Emergencies,10,10000,EUR,11.894,11894.0,0.1,Created 5 hours ago,2021-04-21,US,1,false
197,"Medical, Illness & Healing",3000,3000,USD,3000.0,3000.0,100.0,"Created September 5, 2020",2020-09-05,US,0,false
198,"Medical, Illness & Healing",5000,5000,USD,5000.0,5000.0,100.0,Created 6 days ago,2021-04-14,US,0,false
199,"Medical, Illness & Healing",1500,1500,USD,1500.0,1500.0,100.0,"Created March 20, 2021",2021-03-20,US,0,false
200,"Medical, Illness & Healing",2500,2500,USD,2500.0,2500.0,100.0,"Created March 18, 2021",2021-03-18,US,0,false
201,Funerals & Memorials,500,500,USD,500.0,500.0,100.0,"Created January 17, 2021",2021-01-17,US,0,false
202,"Medical, Illness & Healing",10000,10000,EUR,11894.0,11894.0,100.0,"Created January 3, 2021",2021-01-03,US,0,false
203,Accidents & Emergencies,1000,1000,USD,1000.0,1000.0,100.0,"Created September 2, 2020",2020-09-02,US,0,false
204,Volunteer & Service,30000,30000,USD,30000.0,30000.0,100.0,"Created August 20, 2020",2020-08-20,US,0,false
205,Accidents & Emergencies,570,570,USD,570.0,570.0,100.0,"Created May 27, 2020",2020-05-27,US,0,false
