Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
2020-07-20,4719.9051811468,2728.03848836329,7502.39744953977,375.28571
2020-07-21,4799.53204251817,2787.42785509964,7628.84837755567,394.85714
2020-07-22,4878.00256152458,2830.52201272229,7709.53482124011,390.85714
2020-07-23,4955.1799955954,2907.02367580301,7768.09808764568,394.14286
2020-07-24,5030.94000337201,2912.28730747759,7805.34145588469,438.85714
2020-07-25,5105.19072417504,2912.97867318379,7886.44360720772,492.28571
2020-07-26,5177.81210054004,2962.8819606196,7932.62733048103,510.28571
2020-07-27,5248.6522376243,2997.44039642608,8157.8975602807,522.0
2020-07-28,5317.53954306125,3058.85153320571,8345.2211237903,542.42857
2020-07-29,5384.31737148929,3152.98589505337,8491.71420588002,570.57143
2020-07-30,5448.7806199785,3209.46516794774,8438.16552632991,606.57143
2020-07-31,5510.6965673244,3209.05339482456,8427.5207698773,615.85714
2020-08-01,5569.85527140233,3300.47699181294,8555.38549552326,644.85714
2020-08-02,5626.10368027823,3391.60737430138,8688.56260825203,677.57143
2020-08-03,5679.2939468939,3364.1593647113,8678.77287091336,680.85714
2020-08-04,5729.26598328201,3453.98757605346,8762.79858682673,695.28571
2020-08-05,5775.87786905892,3534.78714365789,8868.76946712693,734.42857
2020-08-06,5819.05032676187,3598.91283018304,8944.85595134933,774.42857
2020-08-07,5858.7458014687,3654.71912044708,8885.0729596277,798.85714
2020-08-08,5894.91401093274,3718.63672230383,8868.34599852739,788.28571
2020-08-09,5927.46635129177,3751.26584124417,8941.44457864607,799.85714
2020-08-10,5956.2863637829,3787.46891757559,8986.42402955426,863.71429
2020-08-11,5981.29440182854,3759.45348939294,8947.33986953605,928.57143
2020-08-12,6002.43237738892,3802.06912652635,8958.88531891519,969.85714
2020-08-13,6019.67261652732,3807.42523991004,9026.27097403486,1012.71429
2020-08-14,6033.00053316466,3811.09614779691,8955.25984982745,1030.71429
