launch_date,All,"Medical, Illness & Healing",Accidents & Emergencies,"Medical, Illness & Healing + Accidents & Emergencies"
2020-09-08,45102.68835860304,34577.24550146017,9556.285714285714,44133.53121574588
2020-09-09,41088.059936525715,28419.759936525716,11699.142857142857,40118.902793668574
2020-09-10,34712.84565081143,19848.331365097143,13895.357142857143,33743.688507954284
2020-09-11,53498.559936525715,39062.617079382864,13466.785714285714,52529.402793668574
2020-09-12,56105.41707938286,43131.47422224,12147.642857142857,55279.11707938286
2020-09-13,48978.67136509715,40790.442793668575,6433.357142857143,47223.79993652572
2020-09-14,51866.65707938286,43076.15707938286,7290.5,50366.65707938286
2020-09-15,59566.08285714286,50775.58285714285,7290.5,58066.08285714285
2020-09-16,62693.79714285715,56046.15428571428,5147.642857142857,61193.79714285713
2020-09-17,51211.868571428575,46760.439999999995,2951.4285714285716,49711.86857142857
2020-09-18,31036.27571428571,28299.132857142857,1237.142857142857,29536.275714285715
2020-09-19,29373.132857142857,27373.132857142857,1071.4285714285713,28444.56142857143
2020-09-20,28345.10714285714,26254.192857142858,1071.4285714285713,27325.62142857143
2020-09-21,24630.821428571428,23397.049999999996,214.28571428571428,23611.33571428571
2020-09-22,27257.321428571428,26023.549999999996,214.28571428571428,26237.83571428571
2020-09-23,26986.75,25752.978571428568,214.28571428571428,25967.264285714282
2020-09-24,26952.12142857143,25004.064285714285,928.5714285714286,25932.635714285712
2020-09-25,38013.42857142857,34822.514285714286,928.5714285714286,35751.08571428571
2020-09-26,63170.57142857143,59193.94285714285,714.2857142857143,59908.22857142857
2020-09-27,63081.08571428572,60123.94285714285,714.2857142857143,60838.22857142857
2020-09-28,65223.942857142865,60123.94285714285,2857.1428571428573,62981.085714285706
2020-09-29,55772.65714285714,47981.08571428571,5548.714285714285,53529.799999999996
2020-09-30,50772.65714285714,42981.08571428571,5548.714285714285,48529.799999999996
2020-10-01,52370.49714285714,45293.21142857143,4834.428571428572,50127.64
2020-10-02,53287.48857142857,47453.06,4834.428571428572,52287.48857142857
2020-10-03,24058.91714285714,19224.48857142857,4834.428571428572,24058.917142857143
2020-10-04,24843.202857142856,20008.774285714284,4834.428571428572,24843.202857142856
2020-10-05,25328.202857142856,22636.631428571425,2691.5714285714284,25328.202857142853
2020-10-06,26679.48857142857,26679.48857142857,0.0,26679.48857142857
2020-10-07,36443.345714285715,32157.631428571425,1428.5714285714287,33586.20285714285
2020-10-08,34165.84857142857,29737.277142857136,1428.5714285714287,31165.848571428563
2020-10-09,20824.728571428568,16396.15714285714,1428.5714285714287,17824.728571428568
2020-10-10,25929.014285714282,21500.442857142854,1428.5714285714287,22929.014285714282
2020-10-11,24214.728571428568,19786.15714285714,1428.5714285714287,21214.728571428568
